,year,happiness_rank,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,government_corruption
year,1.0,-0.007767822971436414,0.007064686693221766,0.019768356303879558,0.3716659499145952,0.13030225513032848,0.01035316180039085,-0.1956428940511001,-0.11658465802156366
happiness_rank,-0.007767822971436414,1.0,-0.9920664949987311,-0.7947906448770211,-0.6460963862858501,-0.7436545976317068,-0.5379422314083645,-0.1322434538752053,-0.3787404554928691
happiness_score,0.007064686693221766,-0.9920664949987311,1.0,0.789283996708511,0.6488566477756749,0.7424557422045489,0.5512580029074609,0.152629059689199,0.40378583877176905
gdp_per_capita,0.019768356303879558,-0.7947906448770211,0.789283996708511,1.0,0.5852780189538017,0.7843375705690158,0.3405109880516871,-0.0020046491337519495,0.2982818787054063
social_support,0.3716659499145952,-0.6460963862858501,0.6488566477756749,0.5852780189538017,1.0,0.5715784968094336,0.4233480455443605,-0.03505701656644812,0.1259073407079429
life_expectancy,0.13030225513032848,-0.7436545976317068,0.7424557422045489,0.7843375705690158,0.5715784968094336,1.0,0.3407451301956284,0.019027328894973553,0.2419545849383518
freedom,0.01035316180039085,-0.5379422314083645,0.5512580029074609,0.3405109880516871,0.4233480455443605,0.3407451301956284,1.0,0.29914840268704446,0.45825596032156474
generosity,-0.1956428940511001,-0.1322434538752053,0.152629059689199,-0.0020046491337519495,-0.03505701656644812,0.019027328894973553,0.29914840268704446,1.0,0.3391473061159955
government_corruption,-0.11658465802156366,-0.3787404554928691,0.40378583877176905,0.2982818787054063,0.1259073407079429,0.2419545849383518,0.45825596032156474,0.3391473061159955,1.0
