,year,happiness_rank,happiness_score,gdp_per_capita,social_support,life_expectancy,freedom,generosity,government_corruption
count,782.0,782.0,782.0,782.0,782.0,782.0,782.0,782.0,782.0
mean,2016.9936061381075,78.69820971867007,5.379017902998669,0.9160474824829717,1.0798952222768,0.612415577116253,0.4110908258223148,0.2163998285374339,0.11850003513451486
std,1.417364432424796,45.182384382705365,1.1274564601550123,0.4073401312898192,0.3250702378394491,0.2483086403797618,0.15288042062896512,0.1151754783447237,0.08820731804253233
min,2015.0,1.0,2.69300007820129,0.0,0.18253125,0.0,0.0,0.0,0.0
25%,2016.0,40.0,4.50975,0.6065,0.8693625,0.44018250000000003,0.30976750000000003,0.13,0.05425
50%,2017.0,79.0,5.322,0.9822047088146211,1.124735,0.6473095147037504,0.431,0.2019822115302085,0.090905
75%,2018.0,118.0,6.189500000000001,1.2361871089935301,1.32725,0.808,0.531,0.2788325,0.15586083810687074
max,2019.0,158.0,7.769,2.096,1.644,1.141,0.724,0.5020812499999999,0.3082770952671768
